LocationID,TankID,Customer,Location,Address,City,State,Zip Code,Tank,Product,Inventory Time (UTC),Inventory,Level,Tank Capacity,Tank Height,MIN,RTUID,Temp_F,Region,Critical High Alarm,High Alarm,Low Alarm,Critical Low Alarm,User Location Id,User Product Id,Battery Level,RSSI,Do Not Fill,UserTankId,Volume UOM,Level UOM,Specific Gravity,Latitude,Longitude,Type
2079588,10169826,ChemTreat Inc,Agnico Eagle Pinos Altos,Carr Chihuahua-Hermosillo KM 290 ,Ocampo,Chihuahua,,Patios Pileta Rica,ML4448,6/9/2017 6:28,401.4812053,33.72440945,1000,84,8.82351E+14,907042613,64.06812,,1000,1000,320,100,,-1,84,10,N,-1,L,cm,1.13,28.6423531,-106.0568139,Location
2079588,10169873,ChemTreat Inc,Agnico Eagle Pinos Altos,Carr Chihuahua-Hermosillo KM 290 ,Ocampo,Chihuahua,,Pileta Intermedia / TK Barren,ML4448,6/9/2017 6:42,240.2599084,20.18181356,1000,84,8.82351E+14,907042675,65.60621,,1000,1000,320,100,,-1,83,10,N,-1,L,cm,1.13,28.6423531,-106.0568139,Location
2026551,10170061,ChemTreat Inc,Jerritt Canyon Gold,45 miles North,Elko,NV,,Jerritt Canyon Intolator,ML 2711,6/9/2017 7:31,344.95267,14.62599,1250,53,8.82351E+14,910100319,53.52125,NV/AK,1250,1250,400,125,,ML2711,88,1,N,-1,gal,in,1.115,41.409003,-115.8947,Device
2026551,10170062,ChemTreat Inc,Jerritt Canyon Gold,45 miles North,Elko,NV,, Jerritt Canyon CIL Tank,ML 5101,6/9/2017 9:17,496.87106,40.07024,1550,125,8.82351E+14,910030209,67.36402,NV/AK,1550,1550,496,155,,-1,89,5,N,-1,gal,in,1.134,41.4952162,-114.1824499,Location
2026551,10173727,ChemTreat Inc,Jerritt Canyon Gold,45 miles North,Elko,NV,,Jerritt Canyon Thickener,ML 2711,6/9/2017 13:16,1373.54793,35.14051,4925,126,5303605062,710430263,75.05445,NV/AK,4925,4925,1576,1379,,ML2711,94,4,N,-1,gal,in,1.11,41.41057653,-115.9033648,Map
2026551,10173730,ChemTreat Inc,Jerritt Canyon Gold,45 miles North,Elko,NV,,Jerritt Canyon Cooling Pond,ML 2711,6/9/2017 7:30,1349.29288,34.51998,4925,126,8.82351E+14,910030236,57.91578,NV/AK,4925,4925,1576,492,,-1,87,6,N,-1,gal,in,1.11,41.40942,-115.891725,Device
2082263,10173732,ChemTreat Inc,Marigold Mining Company ,**,Valmy,NV,,Marigold Barren Tank ,ML 5101,6/9/2017 9:42,2051.17785,73.15867,3000,107,5303513680,710430262,68.24292,NV/AK,3000,3000,1200,900,,-1,89,10,N,-1,gal,in,1.134,40.7922061,-117.1281453,Location
2082263,10173783,ChemTreat Inc,Marigold Mining Company ,**,Valmy,NV,,Marigold Preg Tank,ML 5101,6/9/2017 9:53,1687.54721,60.18918,3000,107,7639005640,710430043,69.34156,NV/AK,3000,3000,960,600,,-1,99,3,N,-1,gal,in,1.134,40.7922061,-117.1281453,Location
2059314,10174799,ChemTreat Inc,Receiving for ChemTreat Inc,5640 Cox Road,Glen Allen,VA,23060,Tank 882350807047744,Water,1/1/1900 6:00,0,0,100000,277.2962,8.82351E+14,710333027,0,,100000,100000,32000,10000,,-1,100,10,N,-1,gal,in,1,0,0,None
2084663,10174800,ChemTreat Inc, El Castillo Planta Este  ,*,San Juan Del Rio,Durango,,Tank 882350807047816,ML4448,6/9/2017 13:58,910.9767574,17.1998476,15000,283.2100076,8.82351E+14,710333031,68,,15000,15000,4800,1500,,-1,80,4,N,-1,L,cm,1.14,0,0,None
2082263,10179729,ChemTreat Inc,Marigold Mining Company ,**,Valmy,NV,,Marigold Lean Preg,ML 5101,6/9/2017 10:25,652.26071,54.13763,1000,83,5303606961,710430270,62.74976,NV/AK,1000,1000,320,150,,-1,90,10,N,-1,gal,in,1.134,40.74198516,-117.1529064,Map
2063771,10180240,ChemTreat Inc,Round Mountain Gold,xxxx,Round Mountain,NV,,Round Mt. Gold Hills ADR Barren,ML2535,6/9/2017 9:38,916.61035,19.58471,8050,172,5302271277,710430261,57.47632,NV/AK,8050,8050,2576,805,,-1,96,10,N,-1,gal,in,1.172,38.7110428,-117.0675843,Location
2099379,10180417,ChemTreat Inc,Newmont Long Canyon Mine,688 Johnson Ranch Road County Road 790,Oasis,NV,89835,Long Canyon Process Tank,ML3718,6/9/2017 9:37,633.65332,19.93127,2750,86.5,8.82351E+14,910030272,58.1355,NV/AK,2750,2750,880,412,,-1,91,2,N,-1,gal,in,1.15992,0,0,None
2059314,10181090,ChemTreat Inc,Receiving for ChemTreat Inc,5640 Cox Road,Glen Allen,VA,23060,Host 882350807591228,Water,1/1/1900 6:00,0,0,10,10,8.82351E+14,907046877,0,,10,10,3,1,,-1,100,10,N,-1,gal,in,1,0,0,None
2030648,10182480,ChemTreat Inc,Ft. Knox Mine,xxxxxxx,Fort Knox,Alaska,,Ft. Knox Mill process water tote,ML 5101,6/9/2017 3:08,51.97907,6.80453,275,36,3124150139,710430274,78.7898,NV/AK,275,275,82,55,,-1,97,10,N,-1,gal,in,1.134,0,0,None
2094958,10203021,ChemTreat Inc,Hi Crush Augusta,*,Augusta,WI,,Wet Plant Cationic Polymer,Chemtreat P824L,6/9/2017 8:24,2696.56019,83.20814,7000,216,8.82351E+14,920028188,88.23804,,7000,7000,2240,700,,-1,83,1,N,-1,gal,in,1.044,0,0,None
2095367,10203025,ChemTreat Inc,Hi Crush Whitehall,W20757 County Road Q,Whitehall,WI,54773,Wet Plant Cationic Polymer,Chemtreat P824L,6/9/2017 8:24,4026.41315,124.2436,7000,216,8.82351E+14,920028183,92.8523,,7000,7000,2240,700,,-1,91,10,N,-1,gal,in,1.044,44.3513504,-91.3619184,Location
2059314,10206175,ChemTreat Inc,Receiving for ChemTreat Inc,5640 Cox Road,Glen Allen,VA,23060,Host 882350809149141,Water,1/1/1900 6:00,0,0,10,10,8.82351E+14,942026893,0,,10,10,3,1,,-1,100,10,N,-1,gal,in,1,0,0,None
2059314,10207426,ChemTreat Inc,Receiving for ChemTreat Inc,5640 Cox Road,Glen Allen,VA,23060,Host 882350809859558,Water,1/1/1900 6:00,0,0,10,10,8.82351E+14,942027049,0,,10,10,3,1,,-1,100,10,N,-1,gal,in,1,0,0,None
